exec_date,id,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
2019-02-04T03:00:33.22,785250639,SELL,369375,0.06300601,JRF20190204-030032-108527,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250638,SELL,369375,0.2,JRF20190204-030032-570359,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250637,SELL,369375,0.075,JRF20190204-030032-321318,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250636,SELL,369376,0.03,JRF20190204-030032-097753,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250635,SELL,369376,0.1,JRF20190204-030032-482664,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250634,SELL,369377,0.07598074,JRF20190204-030032-640218,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250633,SELL,369377,0.05,JRF20190204-030032-321319,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250632,SELL,369378,0.1,JRF20190204-030032-321320,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250631,SELL,369378,0.05,JRF20190204-030032-640216,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250630,SELL,369380,0.2,JRF20190204-030032-640219,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250629,SELL,369380,0.05,JRF20190204-030032-705034,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250628,SELL,369389,0.1987362,JRF20190204-030033-321323,JRF20190204-030032-013579
2019-02-04T03:00:33.22,785250627,SELL,369389,0.2002638,JRF20190204-030032-296696,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250661,SELL,369358,1.57444733,JRF20190204-025747-023262,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250660,SELL,369359,0.35000000000000003,JRF20190204-030032-447816,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250659,SELL,369359,0.18373961,JRF20190204-030031-747020,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250658,SELL,369359,0.1,JRF20190204-025936-671370,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250657,SELL,369360,0.019,JRF20190204-025955-627267,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250656,SELL,369361,0.2,JRF20190204-030027-125332,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250655,SELL,369361,0.1,JRF20190204-030011-599725,JRF20190204-030032-013579
2019-02-04T03:00:33.233,785250654,SELL,369361,0.1,JRF20190204-025745-584249,JRF20190204-030032-013579
2019-02-04T03:00:33.5,785250662,BUY,369389,0.01,JRF20190204-030033-671902,JRF20190204-030033-705040
2019-02-04T03:00:33.517,785250663,SELL,369388,0.01,JRF20190204-030033-705039,JRF20190204-030033-024865
2019-02-04T03:00:33.687,785250677,BUY,369402,0.1,JRF20190204-030033-108530,JRF20190204-030031-705028
2019-02-04T03:00:33.687,785250676,BUY,369402,0.07598074,JRF20190204-030033-108530,JRF20190204-030031-640204
2019-02-04T03:00:33.687,785250675,BUY,369399,0.13601202,JRF20190204-030033-108530,JRF20190204-030031-640205
